ID;FULL_NAME;AGE;GENDER
394;central salamander;59;Z
395;worried toad;20;M
396;tame chickadee;63;Z
397;disappointed mite;68;Z
398;disabled otter;44;M
399;coastal otter;36;M
400;controlled barnacle;35;M
401;unusual hummingbird;17;M
402;mysterious centipede;61;M
403;pleasant hamster;21;M
404;gentle reindeer;22;Z
405;dominant flyingfish;90;M
406;capable fish;98;Z
407;clean magpie;52;M
408;possible tyrannosaurus;20;Z
409;joint beaver;62;M
410;gentle quail;73;M
411;flat blackbird;63;M
412;grey asp;74;Z
413;natural rodent;89;M
414;willing alpaca;98;Z
415;scientific mongoose;35;Z
416;functional wallaby;69;M
417;gastric python;24;Z
418;respectable pelican;94;M
419;breakable slug;26;M
420;grand swallow;19;Z
421;grim carp;75;Z
422;generous spider;74;Z
423;disgusted wolf;58;M
424;tender clownfish;33;M
425;interim cicada;40;M
426;top sawfish;28;M
427;desperate gorilla;99;M
428;itchy skink;57;M
429;fatal bobolink;39;Z
430;reasonable scorpion;30;Z
431;appalling scorpion;87;M
432;dear lark;16;M
433;rude goldfish;18;Z
434;cool wildebeest;22;M
435;equal leopard;68;M
436;territorial halibut;28;Z
437;upset marten;31;Z
438;silky sheep;66;M
439;sympathetic rhinoceros;57;M
440;innocent toad;52;Z
441;tense partridge;69;M
442;monetary bison;50;M
443;upset elk;81;M
444;purring mongoose;22;Z
445;successful narwhal;90;M
446;delightful alpaca;61;Z
447;driving badger;28;M
448;involved dragon;96;M
449;criminal rodent;85;M
450;inherent alpaca;86;M
451;conceptual warbler;61;Z
452;other lion;99;M
453;selected peafowl;77;M
454;crooked rhinoceros;93;M
455;maximum mouse;27;Z
456;lucky quokka;69;M
457;mute cuckoo;61;Z
458;far panda;56;Z
459;green angelfish;46;Z
460;surprised parakeet;45;M
461;desirable roadrunner;38;M
462;typical guppy;13;M
463;level silverfish;23;M
464;content fly;98;Z
465;colonial pig;82;Z
466;sudden earthworm;72;M
467;technological reindeer;80;M
468;remarkable magpie;92;M
469;wild marsupial;76;M
470;primary aardwolf;54;M
471;male wren;51;M
472;ratty wolf;15;M
473;musical wolverine;48;M
474;brief panther;61;M
475;stupid fly;47;M
476;super cockroach;67;Z
477;common lobster;30;M
478;empirical frog;53;Z
479;ok elk;87;Z
480;optimistic guan;29;Z
481;outside cobra;89;Z
482;modern yak;72;M
483;scary pinniped;37;Z
484;long toucan;57;M
485;considerable mockingbird;19;M
486;enthusiastic starfish;92;Z
487;silent wallaby;26;Z
488;modern dog;61;M
489;thoughtful anteater;43;Z
490;handsome mole;37;Z
491;lovely jackal;83;M
492;frequent mosquito;58;Z
493;intact gull;92;Z
494;hurt gull;78;M
495;casual otter;97;Z
496;bright buzzard;37;M
497;curly goat;31;Z
498;normal gopher;21;M
499;firm dog;89;Z
500;autonomous yak;27;M
501;native centipede;74;M
502;fascinating tapir;79;M
503;ethical whippet;24;M
504;implicit orca;12;M
505;spatial dingo;21;M
506;official skunk;63;M
507;alive opossum;25;M
508;past kangaroo;48;Z
509;quiet ferret;68;M
510;magic donkey;54;M
511;exact narwhal;56;Z
512;intact wolverine;22;M
513;magnetic seahorse;36;Z
514;squealing reindeer;55;M
515;low centipede;68;Z
516;tender sailfish;30;M
517;brown whippet;69;Z
518;fantastic landfowl;30;Z
519;square squirrel;49;Z
520;bloody panther;97;M
521;misty barnacle;95;Z
522;ordinary camel;57;M
523;costly chinchilla;95;M
524;ethnic locust;22;Z
525;forward alligator;96;Z
526;useless aardwolf;17;Z
527;existing cattle;16;Z
528;governing cat;28;Z
529;cautious lamprey;18;M
530;plain tahr;81;M
531;pale peacock;47;Z
532;violent hummingbird;21;Z
533;ordinary rat;28;Z
534;progressive scallop;16;Z
535;red ferret;79;M
536;sheer mockingbird;53;M
537;jittery emu;33;Z
538;wild tern;57;Z
539;adorable stoat;54;Z
540;brief falcon;29;Z
541;dramatic yak;98;Z
542;ministerial lizard;68;M
543;aggressive caribou;75;M
544;frequent marlin;75;M
545;lost marlin;50;Z
546;intermediate dingo;95;M
547;modest platypus;52;Z
548;practical pigeon;52;M
549;confidential shark;86;M
550;external bovid;36;Z
551;female stingray;29;Z
552;overall lizard;54;M
553;grey swift;96;Z
554;organisational capybara;39;M
555;unusual spider;15;M
556;outstanding bison;24;M
557;early gorilla;61;M
558;forthcoming python;23;M
559;steep gibbon;65;M
560;wealthy guineafowl;47;M
561;eldest magpie;18;M
562;friendly mastodon;30;Z
563;fun lungfish;95;Z
564;selected warbler;54;M
565;rough bovid;36;M
566;mighty marten;22;M
567;quick ocelot;76;Z
568;bewildered lamprey;72;M
569;identical xerinae;25;M
570;northern coyote;37;Z
571;confident coral;86;Z
572;naval trout;44;M
573;juicy tiglon;70;M
574;firm sturgeon;98;M
575;proposed cicada;67;Z
576;brave skink;77;Z
577;dry stoat;14;M
578;harsh marsupial;56;Z
579;weak owl;82;Z
580;dark crane;59;M
581;crucial junglefowl;18;Z
582;combined stork;55;Z
583;fluffy landfowl;92;M
584;tall haddock;65;M
585;productive wombat;33;Z
586;proud chimpanzee;30;M
587;narrow wildfowl;50;Z
588;melted coral;84;M
589;loyal aardwolf;29;Z
590;official cougar;73;M
591;then beetle;72;Z
592;mere cephalopod;12;Z
593;slimy orangutan;81;Z
594;brainy walrus;75;Z
595;mysterious cephalopod;64;M
596;inland mollusk;73;Z
597;vast kite;50;M
598;blue roundworm;76;Z
599;fortunate chimpanzee;67;M
600;tender coyote;69;Z
601;disabled swordfish;52;M
602;clear rabbit;31;Z
603;homely guppy;54;Z
604;sympathetic cat;32;M
605;governing camel;65;M
606;exciting lungfish;77;Z
607;long starfish;73;Z
608;frightened dragon;97;Z
609;ridiculous pony;58;M
610;short whale;51;M
611;quiet seahorse;48;M
612;apparent anglerfish;22;M
613;fit salamander;41;Z
614;great marsupial;95;M
615;deaf pigeon;42;M
616;delicious lungfish;93;Z
617;preliminary mole;77;Z
618;lesser swallow;78;M
619;graceful salamander;49;M
620;adverse wren;81;Z
621;round crayfish;94;M
622;vast albatross;62;Z
623;misleading peafowl;51;M
624;orange caribou;15;M
625;sweet koala;56;M
626;compulsory wildebeest;22;Z
627;marvellous asp;95;M
628;chief stoat;42;M
629;tender pig;28;Z
630;graceful crow;39;M
631;alright swordtail;68;Z
632;oral stork;61;Z
633;toxic pony;76;Z
634;creepy wombat;52;Z
635;gentle parrotfish;25;M
636;brief baboon;53;Z
637;energetic dormouse;46;Z
638;given leech;41;Z
639;bold tiger;49;M
640;managerial panda;90;M
641;old caterpillar;14;M
642;impressed mastodon;73;M
643;slippery antlion;72;M
644;delightful sturgeon;80;Z
645;quick goat;14;Z
646;adequate boar;77;M
647;breakable boa;62;M
648;bottom mastodon;14;M
649;icy crane;87;M
650;organic tapir;85;Z
651;stiff tern;59;M
652;lovely gayal;97;Z
653;breakable bobolink;96;M
654;dual opossum;16;Z
655;tame cat;38;M
656;objective swordtail;42;M
657;valuable salamander;17;M
658;fantastic tortoise;15;Z
659;broad whale;48;M
660;french smelt;59;Z
661;alternative llama;38;Z
662;useful leopon;95;Z
663;swift gerbil;50;M
664;marked antlion;66;Z
665;concerned marsupial;99;M
666;lengthy penguin;60;M
667;dominant smelt;64;M
668;flaky anaconda;35;Z
669;coastal tahr;34;Z
670;running swallow;34;Z
671;digital trout;75;M
672;brave elephant;19;Z
673;operational grasshopper;46;Z
674;brief parakeet;83;M
675;empirical piranha;16;M
676;identical cougar;94;Z
677;drab whale;75;Z
678;spontaneous cicada;35;M
679;elaborate earwig;48;M
680;huge gerbil;67;M
681;sympathetic gayal;11;Z
682;formal skink;69;Z
683;financial lamprey;91;Z
684;wet canidae;89;M
685;squealing llama;82;Z
686;keen fox;53;Z
687;private blackbird;50;M
688;icy pinniped;99;Z
689;feminist badger;97;Z
690;dirty cobra;58;M
691;fragile chipmunk;33;M
692;possible lemur;41;M
693;liberal snail;16;Z
694;like porpoise;40;Z
695;dry armadillo;35;M
696;distant tern;26;Z
697;tiny carp;74;Z
698;tricky mule;82;M
699;disappointed monkey;25;Z
700;net skink;93;M
701;respectable canidae;85;Z
702;primary ermine;93;M
703;tiny piranha;91;M
704;critical python;91;M
705;ideal chipmunk;48;M
706;managerial eagle;30;M
707;easy guineafowl;44;M
708;condemned mongoose;83;M
709;high finch;10;Z
710;mad tuna;82;M
711;moderate urial;65;M
712;creepy parrotfish;85;Z
713;rapid narwhal;27;Z
714;charming xerinae;90;M
715;living mandrill;16;M
716;wild goat;93;Z
717;circular gopher;53;Z
718;confident damselfly;75;M
719;encouraging catfish;46;Z
720;judicial cat;78;M
721;prominent damselfly;74;Z
722;exuberant elephant;50;Z
723;wooden mammal;99;M
724;upset rodent;64;M
725;icy dormouse;69;M
726;dramatic cuckoo;61;Z
727;lively snail;80;Z
728;healthy dormouse;67;Z
729;uniform donkey;80;Z
730;sharp flamingo;86;M
731;sensible finch;93;Z
732;gentle dolphin;19;Z
733;lucky cricket;62;Z
734;favourite vulture;35;Z
735;comfortable lemming;70;M
736;northern kangaroo;33;M
737;historic zebra;80;M
738;lazy boa;65;M
739;profound kite;15;M
740;limited snake;98;M
741;ugliest octopus;75;Z
742;unknown peacock;49;Z
743;hidden jaguar;63;M
744;appropriate bird;60;M
745;little hedgehog;66;Z
746;financial damselfly;77;Z
747;wrong roundworm;12;M
748;thin egret;20;M
749;representative jaguar;33;Z
750;continued earthworm;87;Z
751;payable pheasant;51;Z
752;tight kite;89;Z
753;radical donkey;48;Z
754;rude donkey;87;M
755;convincing tick;27;Z
756;inappropriate tapir;18;Z
757;symbolic lobster;66;M
758;frightened lemur;32;M
759;formidable gecko;62;Z
760;technical bear;22;M
761;experimental spoonbill;72;M
762;ugliest quail;70;M
763;glad anteater;67;M
764;equivalent coral;92;M
765;precious possum;74;Z
766;handsome monkey;24;Z
767;solid crane;60;Z
768;smart pigeon;38;M
769;immense goldfish;39;M
770;linear gibbon;24;M
771;final tapir;22;M
772;mobile cobra;84;Z
773;dry pelican;64;M
774;fixed ocelot;61;Z
775;resident crow;61;M
776;common cod;44;M
777;objective dog;29;M
778;impossible crawdad;90;Z
779;distinct jaguar;75;Z
780;respectable bobcat;10;Z
781;unemployed fly;94;M
782;chilly squid;59;M
783;fat otter;56;Z
784;straight camel;36;Z
785;arbitrary elephant;34;M
786;comfortable mule;55;M
787;respective amphibian;41;M
788;motionless fox;81;Z
789;wicked porcupine;89;Z
790;busy basilisk;11;M
791;impressive tiglon;79;Z
792;interior jackal;85;M
793;disgusted gorilla;97;Z
794;important marmoset;84;M
795;fatal meerkat;58;M
796;magenta aardvark;12;M
797;evolutionary spider;54;Z
798;competent planarian;66;M
799;classic fly;94;Z
800;steady snipe;16;M
801;delighted viper;24;M
802;thundering tahr;99;Z
803;civilian ptarmigan;22;M
804;appalling capybara;68;Z
805;excellent damselfly;36;Z
806;faint gecko;34;M
807;dead llama;94;Z
808;simple perch;69;M
809;desperate turtle;17;M
810;delighted iguana;89;M
811;recent gamefowl;12;Z
812;awful blackbird;96;M
813;linguistic sturgeon;96;Z
814;metropolitan skunk;19;Z
815;soft muskox;44;Z
816;shaky dragon;23;M
817;foreign panda;15;Z
818;productive sloth;37;M
819;rival xerinae;68;Z
820;nutritious owl;91;M
821;retired marlin;70;Z
822;courageous elephant;80;M
823;general cricket;48;Z
824;deep lamprey;48;Z
825;proud dog;27;Z
826;miserable limpet;19;M
827;integrated spider;20;Z
828;enthusiastic zebra;84;Z
829;wealthy tahr;89;M
830;medical basilisk;93;M
831;slow hare;58;Z
832;useless hamster;33;M
833;just cheetah;44;Z
834;supreme panther;27;M
835;running tyrannosaurus;94;Z
836;lexical gazelle;37;M
837;colourful salamander;56;Z
838;foolish woodpecker;90;M
839;selected cephalopod;19;Z
840;proper seahorse;91;Z
841;naked dormouse;37;Z
842;improved parrot;33;Z
843;corporate wolf;66;Z
844;huge tahr;39;Z
845;impossible lemur;41;M
846;wooden tapir;40;M
847;underground reindeer;57;Z
848;embarrassing leopard;47;M
849;alleged rattlesnake;21;M
850;constitutional jellyfish;98;Z
851;olympic goat;87;M
852;deep gecko;73;M
853;green cricket;77;M
854;big camel;93;M
855;deep emu;20;M
856;academic manatee;36;Z
857;nervous lion;54;M
858;high swift;46;Z
859;scared gecko;91;Z
860;ratty alpaca;17;Z
861;wonderful reindeer;42;Z
862;intensive ant;52;Z
863;ambitious xerinae;38;Z
864;french hedgehog;68;M
865;marked dog;97;M
866;individual jackal;57;Z
867;new deer;82;Z
868;handsome swordfish;40;Z
869;extraordinary whippet;57;M
870;tasteless ape;68;Z
871;organisational cheetah;92;Z
872;fierce moth;12;Z
873;awful baboon;29;M
874;supposed squid;13;M
875;silky salamander;12;Z
876;supreme prawn;17;M
877;conventional tiger;83;M
878;technological kangaroo;66;M
879;condemned condor;62;M
880;grumpy pinniped;80;M
881;contemporary dinosaur;74;M
882;fast amphibian;45;M
883;intelligent anglerfish;45;Z
884;initial cobra;62;M
885;fantastic goat;25;Z
886;variable takin;54;M
887;peculiar chipmunk;22;Z
888;diplomatic anaconda;43;Z
889;changing sturgeon;44;Z
890;legislative termite;62;M
891;dull vulture;40;Z
892;straight hare;68;M
893;healthy thrush;63;M
894;ok clownfish;83;Z
895;naval guppy;15;M
896;prospective horse;33;M
897;victorian caterpillar;80;M
898;capitalist kiwi;68;Z
899;classic roadrunner;91;Z
900;tasty boar;72;M
901;invisible lungfish;78;Z
902;upper ermine;23;Z
903;presidential whale;89;Z
904;supposed mite;44;Z
905;warm crawdad;69;Z
906;secret shrew;75;Z
907;multiple damselfly;66;M
908;genetic sloth;14;M
909;lovely hamster;58;Z
910;divine lark;42;M
911;helpless quokka;44;M
912;outstanding pig;27;M
913;tender unicorn;44;M
914;guilty stoat;85;M
915;healthy ermine;19;M
916;long swordfish;77;Z
917;chief tarsier;58;Z
918;curved chipmunk;42;Z
919;faithful impala;64;M
920;naughty bobolink;14;Z
921;cute dinosaur;13;Z
922;live earthworm;44;M
923;variable bee;75;M
924;overwhelming whale;10;M
925;silly turtle;19;M
926;extraordinary beetle;44;Z
927;pure gibbon;61;M
928;solar opossum;70;M
929;attractive earwig;79;Z
930;liable fish;76;M
931;renewed goldfish;60;Z
932;tremendous mite;91;Z
933;proud donkey;82;Z
934;fat ant;53;M
935;nutritious lobster;11;Z
936;excited mackerel;68;Z
937;early hummingbird;75;Z
938;individual llama;76;M
939;inadequate lizard;21;M
940;interested buzzard;75;Z
941;ill rodent;67;M
942;immense cheetah;68;Z
943;doubtful otter;97;M
944;electrical magpie;63;M
945;arrogant mastodon;78;Z
946;silly hyena;71;M
947;relevant lungfish;75;Z
948;tall pheasant;77;M
949;doubtful catfish;18;Z
950;sunny cobra;86;Z
951;underground bear;20;M
952;previous caribou;57;M
953;gigantic stork;94;Z
954;active barnacle;53;M
955;high smelt;67;M
956;occupational shrimp;54;Z
957;gigantic turtle;36;Z
958;stiff roadrunner;46;Z
959;blue pheasant;63;Z
960;vocational squid;94;Z
961;determined condor;46;M
962;joint wildebeest;66;M
963;senior loon;13;M
964;deep tortoise;19;M
965;disastrous cattle;56;M
966;electrical meadowlark;25;M
967;outstanding scorpion;64;Z
968;colorful antlion;81;Z
969;unacceptable pheasant;95;M
970;bad fish;48;M
971;vivid mockingbird;97;M
972;corporate lemur;29;M
973;persistent sturgeon;75;M
974;mental roadrunner;50;Z
975;stuck meadowlark;67;Z
976;happy asp;37;M
977;lonely walrus;15;Z
978;nosy parakeet;59;M
979;hard ladybug;10;Z
980;obvious marlin;57;M
981;thundering tarsier;52;Z
982;bizarre wasp;70;Z
983;actual angelfish;40;Z
984;ltd guppy;37;M
985;fit goose;43;Z
986;continental galliform;34;M
987;uncomfortable mastodon;34;M
988;spotless cod;41;M
989;horrible swallow;11;M
990;squealing cephalopod;85;Z
991;mean viper;37;Z
992;bizarre galliform;40;Z
993;round cephalopod;40;M
994;magnificent chicken;31;M
995;coherent roundworm;61;Z
996;soft alligator;61;Z
997;smooth harrier;43;Z
998;ill mouse;94;Z
999;excited chinchilla;47;Z
1000;racial dog;48;Z
1001;unlikely wallaby;23;Z
1002;immediate quelea;68;Z
1003;poised monkey;46;Z
1004;evolutionary marsupial;78;M
1005;developed aphid;19;Z
1006;comparable koala;82;M
1007;unaware roundworm;88;M
1008;interim termite;27;M
1009;helpless duck;65;Z
1010;unwilling tarsier;68;Z
1011;tired guppy;12;Z
1012;worthwhile skunk;82;Z
1013;solar monkey;86;Z
1014;mean ape;90;Z
1015;quiet cricket;97;M
1016;symbolic damselfly;80;Z
1017;theoretical cricket;64;Z
1018;tame pheasant;62;Z
1019;worthwhile vicuna;75;M
1020;past donkey;16;M
1021;effective giraffe;27;M
1022;visual elk;54;M
1023;equivalent stingray;12;M
1024;careful booby;86;M
1025;sad spider;83;Z
1026;joint goat;85;Z
1027;subtle pelican;14;Z
1028;conventional koi;37;Z
1029;husky felidae;70;M
1030;fixed stork;27;M
1031;slippery tyrannosaurus;28;M
1032;red halibut;28;M
1033;sacred bonobo;25;Z
1034;tender buzzard;93;Z
1035;competitive bee;97;M
1036;romantic planarian;81;M
1037;loyal wildcat;82;M
1038;poor sheep;61;Z
1039;purple louse;43;Z
1040;squealing caribou;87;Z
1041;abstract orangutan;98;M
1042;strategic baboon;14;Z
1043;heavy gamefowl;92;Z
1044;political eagle;92;M
1045;cuddly ptarmigan;37;Z
