ID;TYPE;NAME;AGE;GENDER;IS_AGRESIVE;IS_FRIENDLY
234;3;tremendous dog;5;M;Y;Y
235;2;institutional whippet;20;Z;Y;N
236;6;ideal anaconda;17;Z;Y;N
237;8;disgusted mollusk;1;M;N;N
238;8;ugly clownfish;11;M;N;N
239;5;gastric earthworm;1;M;Y;N
240;9;average reptile;11;M;Y;N
241;9;yellow cardinal;11;Z;Y;N
242;3;extreme bedbug;17;M;N;N
243;9;moaning tick;20;M;Y;N
244;5;relaxed squirrel;12;Z;N;N
245;2;eventual wildebeest;19;Z;Y;Y
246;7;bright mammal;7;M;Y;Y
247;4;integral lizard;16;Z;N;Y
248;9;mobile camel;9;M;N;Y
249;6;standard bison;7;M;N;Y
250;0;embarrassing python;18;M;Y;N
251;6;fat tapir;4;M;Y;Y
252;0;pregnant antlion;10;M;Y;Y
253;1;shy marmoset;2;M;Y;N
254;7;crooked lamprey;2;M;N;Y
255;7;disastrous fly;5;M;N;N
256;3;educational gopher;14;M;N;N
257;1;strong vicuna;11;M;Y;Y
258;6;gothic hare;1;Z;Y;Y
259;0;neighbouring ermine;5;Z;Y;Y
260;3;whole crow;3;M;Y;Y
261;7;embarrassed quelea;20;Z;Y;Y
262;1;sharp giraffe;2;M;Y;Y
263;7;enthusiastic starfish;3;Z;N;N
264;9;short grasshopper;5;M;Y;N
265;5;compact otter;18;M;Y;Y
266;0;critical earwig;4;M;N;N
267;6;dirty llama;20;Z;N;N
268;1;confused baboon;3;M;Y;N
269;7;lovely donkey;9;Z;N;Y
270;6;joint swordtail;6;Z;Y;Y
271;5;hard leopon;14;M;Y;N
272;6;near bobolink;5;M;N;Y
273;2;sufficient ferret;13;M;N;Y
274;9;low elk;14;M;N;N
275;9;instant bandicoot;16;Z;N;N
276;2;sophisticated pony;10;M;N;N
277;6;strategic guppy;5;M;N;N
278;0;historic primate;1;Z;Y;N
279;2;long coyote;2;M;N;Y
280;7;mathematical bedbug;16;M;N;N
281;2;systematic peafowl;19;M;N;N
282;5;added giraffe;15;Z;Y;N
283;1;decent butterfly;6;Z;Y;Y
284;3;creepy puma;1;M;Y;N
285;3;military leopard;2;Z;N;N
286;5;steady rattlesnake;3;M;Y;N
287;9;rainy koi;12;M;Y;N
288;8;grotesque opossum;15;Z;N;Y
289;0;harsh canidae;16;M;Y;N
290;2;emotional goldfish;20;M;N;N
291;1;mechanical piranha;7;Z;Y;N
292;8;pleased cattle;10;Z;N;Y
293;0;huge donkey;10;M;Y;Y
294;5;civic dove;10;Z;N;N
295;6;unusual hawk;18;M;N;Y
296;4;orange nightingale;14;M;N;Y
297;1;gorgeous catfish;14;Z;N;N
298;5;anxious booby;8;M;Y;N
299;7;vast heron;17;Z;Y;N
300;3;high krill;10;Z;Y;N
301;7;steady tarsier;9;Z;Y;N
302;0;firm woodpecker;18;M;Y;Y
303;0;unsightly galliform;20;M;N;N
304;8;mad zebra;14;M;Y;N
305;6;persistent ferret;4;M;N;N
306;5;accepted gecko;19;M;Y;N
307;3;progressive kiwi;15;Z;Y;Y
308;8;bright cat;10;Z;N;N
309;2;metropolitan deer;20;M;N;N
310;3;tremendous echidna;17;M;N;Y
311;3;melted chinchilla;11;M;N;Y
312;9;dirty alpaca;16;Z;Y;N
313;7;better porcupine;10;Z;Y;Y
314;9;growing tick;2;Z;Y;N
315;7;furious beetle;3;Z;Y;N
316;5;handicapped wildebeest;8;Z;Y;Y
317;6;governing quail;14;Z;N;Y
318;6;rude baboon;9;M;N;N
319;6;panicky tiglon;2;M;Y;N
320;7;semantic elephant;19;Z;Y;N
321;3;tough guineafowl;4;M;Y;Y
322;1;tender skunk;6;M;Y;Y
323;9;insufficient bovid;10;M;Y;Y
324;2;realistic canidae;3;M;Y;Y
325;8;diverse alpaca;12;Z;N;N
326;2;comparative snake;9;Z;Y;Y
327;4;assistant urial;10;Z;Y;N
328;2;effective cat;5;M;N;Y
329;0;integral puffin;5;Z;Y;N
330;6;chronic llama;6;Z;Y;N
331;3;loyal fly;6;Z;N;Y
332;9;biological earwig;16;Z;N;Y
333;1;philosophical wren;13;Z;Y;N
334;1;bright deer;11;M;N;N
335;9;ashamed crow;16;M;Y;Y
336;0;tough nightingale;6;Z;Y;Y
337;9;bad bison;13;Z;Y;Y
338;2;low worm;7;Z;Y;N
339;3;selective coyote;18;Z;N;Y
340;6;blind hamster;3;Z;N;N
341;2;traditional wren;14;M;Y;N
342;2;characteristic hippopotamus;11;Z;N;N
343;1;fiscal wasp;7;Z;Y;Y
344;4;loud buzzard;9;M;Y;Y
345;8;worthy leech;8;M;Y;N
346;4;pleasant gamefowl;7;Z;N;Y
347;4;delightful cougar;15;Z;Y;Y
348;8;stable haddock;15;M;N;Y
349;2;deep xerinae;11;Z;N;N
350;0;depressed eagle;9;M;Y;N
351;9;known silkworm;10;Z;Y;N
352;8;short swallow;17;M;Y;N
353;0;unexpected mollusk;19;M;N;N
354;3;ugly vicuna;18;Z;Y;Y
355;4;salty tern;15;Z;Y;N
356;2;mighty junglefowl;4;M;Y;N
357;9;massive thrush;13;M;Y;N
358;1;pure koala;12;M;Y;Y
359;1;historical owl;8;M;N;Y
360;7;outrageous horse;14;Z;Y;N
361;1;funny spoonbill;13;M;Y;N
362;0;shy wombat;19;M;Y;Y
363;0;hard donkey;1;M;N;N
364;2;qualified termite;16;M;N;Y
365;2;middle goat;20;Z;N;Y
366;7;sufficient crayfish;18;Z;N;Y
367;9;odd chicken;5;Z;N;Y
368;5;dear snail;2;Z;N;Y
369;1;instant cicada;17;Z;Y;N
370;5;positive tarantula;2;M;Y;Y
371;1;residential cockroach;7;Z;N;N
372;9;meaningful tarantula;6;Z;Y;Y
373;1;fortunate cougar;16;Z;N;Y
374;8;definite kingfisher;1;M;N;Y
375;6;early flyingfish;19;M;N;N
376;1;ready mastodon;3;Z;Y;N
377;8;busy piranha;16;Z;Y;Y
378;6;different mastodon;17;Z;N;Y
379;4;retail gamefowl;19;Z;Y;Y
380;4;effective leech;3;M;Y;Y
381;4;upset rabbit;6;Z;Y;N
382;5;visible tyrannosaurus;16;Z;Y;N
383;9;disappointed asp;8;Z;N;N
384;4;empirical woodpecker;5;M;N;N
385;5;surrounding yak;8;M;Y;Y
386;9;elaborate rattlesnake;19;Z;Y;N
387;1;depressed puffin;1;M;Y;Y
388;9;relative bobolink;6;Z;N;N
389;2;environmental lion;17;Z;Y;Y
390;0;experienced pigeon;6;M;N;Y
391;7;giant mole;15;M;Y;Y
392;2;socialist beetle;5;Z;N;N
393;8;uniform antelope;14;Z;Y;N
394;7;scrawny yak;14;M;N;N
395;0;busy leopard;9;M;N;N
396;4;content antlion;17;Z;Y;N
397;4;level rat;19;Z;N;N
398;5;fortunate guanaco;1;M;Y;N
399;8;automatic lion;5;M;N;Y
400;7;marginal eagle;1;M;Y;Y
401;0;quaint pinniped;15;Z;Y;N
402;0;objective sloth;3;Z;N;Y
403;1;ugliest grasshopper;14;M;N;N
404;7;frightened dove;8;Z;Y;Y
405;8;grieving takin;11;M;N;Y
406;0;clean echidna;2;Z;Y;Y
407;2;disgusted herring;2;Z;N;Y
408;2;remote sparrow;12;M;N;N
409;5;safe rabbit;10;M;N;N
410;4;mature dove;10;M;Y;N
411;6;surviving pinniped;9;M;N;N
412;3;peculiar elk;16;Z;Y;Y
413;8;alleged urial;10;M;N;Y
414;3;dangerous ermine;5;M;Y;N
415;6;successful mastodon;17;Z;Y;N
416;8;relaxed snipe;10;Z;Y;Y
417;9;homely ant;18;M;Y;Y
418;6;ordinary gecko;4;Z;N;Y
419;0;resident jay;10;M;N;N
420;5;white koi;15;Z;N;N
421;2;fond chipmunk;5;M;Y;N
422;0;alternative llama;12;Z;Y;Y
423;6;remarkable bison;2;Z;N;N
424;4;frail chicken;13;M;N;Y
425;6;clever crawdad;2;M;N;N
426;6;printed scallop;11;Z;Y;Y
427;9;likely hummingbird;3;Z;Y;N
428;4;informal aardwolf;9;Z;N;Y
429;7;repulsive mollusk;11;Z;Y;Y
430;7;empty porcupine;3;M;N;Y
431;4;agreed squirrel;5;Z;Y;N
432;9;glorious lungfish;3;M;N;Y
433;4;musical koi;9;M;Y;Y
434;6;interim walrus;11;Z;Y;N
435;7;natural panther;8;Z;N;Y
436;5;content antelope;20;Z;N;Y
437;1;integral mosquito;14;M;Y;Y
438;4;purring hamster;6;M;N;N
439;5;fierce mink;5;Z;N;N
440;9;aesthetic damselfly;4;Z;Y;N
441;8;then canid;18;M;N;N
442;0;wicked pig;12;Z;Y;Y
443;7;enchanting gibbon;7;M;N;N
444;9;thundering nightingale;10;Z;N;N
445;2;missing elk;15;Z;Y;Y
446;3;metropolitan catfish;8;Z;N;Y
447;5;embarrassing grasshopper;20;M;N;Y
448;8;easy canid;19;Z;Y;Y
449;7;melodic quokka;1;Z;N;Y
450;3;general rook;10;M;Y;N
451;4;scary spider;5;Z;N;Y
452;1;dirty lynx;12;Z;Y;N
453;1;possible kite;5;M;Y;Y
454;4;civic alpaca;9;M;N;Y
455;8;muddy lynx;11;Z;N;N
456;5;real swordtail;2;M;Y;Y
457;3;long koi;14;Z;N;Y
458;4;alive aardwolf;13;Z;Y;N
459;2;beautiful lemming;4;Z;Y;Y
460;1;embarrassing basilisk;7;Z;Y;Y
461;3;wet ermine;15;M;N;Y
462;6;desirable pig;6;M;N;Y
463;6;confused bison;12;Z;Y;Y
464;9;fortunate hedgehog;5;M;N;Y
465;3;fun tern;13;M;N;Y
466;6;precious manatee;16;Z;N;N
467;7;agreed mockingbird;4;M;N;Y
468;9;useful panda;1;M;N;N
469;1;cheerful emu;2;Z;N;N
470;9;olympic grouse;8;M;N;N
471;2;unsightly stingray;15;M;Y;N
472;1;persistent llama;2;M;N;Y
473;4;binding capybara;16;Z;N;Y
474;9;formal mite;18;M;Y;Y
475;6;public chicken;12;M;Y;N
476;7;salty mole;11;Z;N;Y
477;9;huge rhinoceros;11;M;N;N
478;7;good mockingbird;3;Z;N;Y
479;1;worthwhile possum;11;Z;Y;N
480;8;separate limpet;20;M;Y;N
481;2;spectacular newt;6;Z;N;Y
482;0;bumpy limpet;11;Z;Y;N
483;2;husky anglerfish;15;M;Y;N
484;3;ltd xerinae;4;Z;Y;Y
485;9;continuing jellyfish;8;Z;N;N
486;7;cognitive bobolink;10;M;Y;Y
487;5;decent parakeet;1;M;N;N
488;9;unknown herring;8;M;Y;N
489;7;renewed lion;19;M;N;N
490;3;closed pigeon;19;Z;Y;N
491;4;icy marmoset;9;M;N;N
492;8;spare gamefowl;20;Z;N;N
493;1;supreme fowl;7;Z;N;N
494;1;blonde bee;16;Z;Y;N
495;4;contemporary ferret;18;Z;Y;Y
496;8;brown peacock;4;Z;Y;N
497;9;crooked bee;1;M;N;N
498;2;black gibbon;2;M;N;Y
499;2;foolish koi;9;M;Y;Y
500;9;quick wombat;6;Z;N;N
501;0;kind wasp;19;Z;Y;N
502;1;efficient alpaca;20;M;N;N
503;6;muddy chameleon;19;Z;Y;Y
504;0;bright lizard;12;M;N;Y
505;2;super flamingo;8;M;Y;N
506;0;elegant wasp;10;M;Y;Y
507;5;long sailfish;7;Z;N;N
508;6;appropriate eagle;12;Z;N;N
509;7;nervous aphid;20;Z;Y;N
510;0;zealous gorilla;11;Z;Y;Y
511;2;multiple woodpecker;5;Z;N;N
512;8;troubled orangutan;10;M;Y;N
513;2;causal guan;18;M;N;Y
514;1;latin cat;14;M;Y;Y
515;4;uniform rook;9;Z;N;Y
516;3;loyal mite;6;M;N;Y
517;8;then grasshopper;16;Z;N;N
518;4;right horse;20;Z;Y;N
519;1;magnetic eagle;20;Z;Y;Y
520;0;deliberate duck;18;M;Y;Y
521;4;silent starfish;14;M;N;N
522;9;disastrous guppy;8;M;N;Y
523;6;obedient guineafowl;7;Z;N;N
524;0;remarkable eel;6;Z;N;N
525;9;psychiatric goose;13;M;N;N
526;5;easy cuckoo;5;M;Y;N
527;4;confidential louse;12;M;N;Y
528;1;abstract mule;12;Z;N;Y
529;5;social narwhal;3;Z;Y;N
530;8;new guppy;11;M;N;N
531;1;subsequent falcon;1;M;Y;N
532;7;late barracuda;1;M;N;Y
533;2;hard marsupial;20;Z;N;N
534;1;strategic iguana;11;M;N;N
535;8;industrial gibbon;12;M;Y;Y
536;6;foreign hare;3;Z;N;Y
537;3;scared boar;13;Z;N;N
538;5;comparable barnacle;5;Z;Y;N
539;9;lonely cockroach;8;Z;Y;N
540;1;rare cattle;4;Z;Y;N
541;8;careful parrot;4;M;Y;Y
542;5;cold warbler;11;Z;N;Y
543;8;insufficient tiger;13;M;Y;Y
544;5;pretty mammal;6;Z;N;Y
545;8;broad gull;10;M;Y;N
546;2;judicial meadowlark;4;M;Y;Y
547;3;compatible sparrow;10;Z;N;N
548;9;alleged pike;13;M;Y;Y
549;5;pregnant tarantula;13;M;N;Y
550;0;related beaver;7;M;Y;Y
551;3;ideal marmoset;10;Z;Y;Y
552;2;inevitable stork;5;M;N;N
553;0;appropriate capybara;2;Z;N;N
554;7;prickly otter;19;M;Y;N
555;5;religious chameleon;20;Z;Y;N
556;0;careful guanaco;13;Z;Y;N
557;3;positive basilisk;11;Z;N;N
558;2;remote bass;4;M;N;N
559;7;recent eagle;4;M;N;N
560;1;wet cockroach;16;Z;N;Y
561;8;sensible angelfish;5;M;N;Y
562;1;tender bedbug;17;Z;N;Y
563;6;innocent fowl;14;M;Y;Y
564;8;cognitive pinniped;20;M;Y;N
565;8;statistical gorilla;7;M;Y;Y
566;2;chubby rhinoceros;13;M;N;Y
567;0;sticky shrimp;2;Z;N;Y
568;0;charming cattle;18;M;N;Y
569;1;pleasant anglerfish;13;Z;N;N
570;1;novel donkey;6;M;N;Y
571;2;disturbed bonobo;6;M;N;Y
572;3;easy xerinae;10;Z;N;N
573;9;conservation capybara;11;Z;Y;N
574;3;juicy ox;14;M;Y;Y
575;7;better fowl;15;M;N;N
576;6;straight flyingfish;13;M;Y;N
577;4;mixed raven;9;Z;Y;N
578;9;hidden beaver;6;Z;N;Y
579;9;unpleasant eel;3;M;Y;N
580;8;flexible eagle;11;Z;Y;N
581;8;creepy sawfish;10;Z;N;Y
582;0;native cougar;13;M;N;Y
583;0;interesting iguana;14;Z;N;Y
584;9;perfect landfowl;1;Z;N;Y
585;7;flying tarsier;7;Z;N;Y
586;5;surprised smelt;11;Z;N;Y
587;5;clean egret;9;M;Y;N
588;7;short slug;19;Z;Y;N
589;9;conscious cockroach;10;Z;Y;N
590;9;low boar;14;Z;Y;Y
591;5;irrelevant caterpillar;18;Z;Y;N
592;5;extreme ferret;4;M;N;Y
593;5;depressed sturgeon;7;M;Y;Y
594;0;compact scorpion;4;Z;N;N
595;9;cooperative pinniped;5;Z;Y;Y
596;4;orange cat;11;M;N;Y
597;2;bored cattle;1;Z;Y;N
598;4;filthy cattle;1;Z;N;N
599;1;juicy python;20;Z;Y;Y
600;1;elated mole;12;M;Y;Y
601;4;weird spider;6;Z;Y;Y
602;1;striking mammal;19;Z;Y;N
603;3;thirsty minnow;17;M;N;N
604;5;extraordinary prawn;8;Z;Y;N
605;1;radical donkey;18;M;Y;N
606;8;legitimate firefly;2;M;N;N
607;8;conceptual frog;9;Z;N;N
608;9;neat termite;4;Z;Y;Y
609;2;public emu;10;M;Y;N
610;4;wandering vicuna;5;M;Y;Y
611;1;tough crow;14;M;N;Y
612;7;reluctant silkworm;14;M;N;N
613;8;clear lobster;6;M;N;Y
614;1;respective marmoset;20;M;N;N
615;5;little trout;2;Z;Y;N
616;6;unique meerkat;7;M;N;Y
617;9;Sound piranha;13;Z;N;N
618;9;fierce falcon;10;Z;N;Y
619;1;tiny sparrow;2;M;Y;N
620;1;famous lynx;6;M;N;N
621;3;sad cuckoo;16;M;N;Y
622;9;future bandicoot;1;Z;Y;N
623;7;bad narwhal;2;M;N;Y
624;6;chemical heron;13;Z;N;N
625;3;industrial dinosaur;8;Z;Y;N
626;9;blue sparrow;17;Z;Y;Y
627;1;silent ocelot;14;Z;Y;Y
628;6;dizzy tahr;1;Z;N;Y
629;2;bare scallop;3;M;Y;Y
630;4;tragic alpaca;10;Z;Y;N
631;0;supposed swift;3;M;N;Y
632;2;kind horse;20;M;Y;Y
633;7;early limpet;20;Z;Y;N
634;8;ratty chinchilla;9;Z;Y;N
635;9;socialist scallop;14;Z;Y;N
636;3;unusual flamingo;4;M;N;N
637;9;bad yak;11;Z;Y;N
638;1;crazy angelfish;18;Z;N;Y
639;5;frightened meadowlark;20;Z;Y;Y
640;5;strange panda;17;M;Y;N
641;2;potential junglefowl;18;Z;Y;N
642;8;burning boar;5;M;Y;N
643;8;chief gull;1;M;Y;N
644;0;organisational ostrich;5;Z;Y;Y
645;7;shallow gibbon;20;Z;N;Y
646;8;quiet donkey;19;Z;N;Y
647;2;ethical antelope;11;M;N;Y
648;0;slow pelican;5;M;Y;Y
649;0;cruel mouse;12;Z;Y;Y
650;4;fluttering boa;16;M;N;N
651;3;bright aphid;8;Z;Y;Y
652;2;good catshark;14;M;N;N
653;8;charming canid;5;Z;Y;Y
654;0;broken guan;14;Z;Y;Y
655;3;chubby butterfly;3;M;Y;N
656;1;lesser toad;9;Z;Y;Y
657;5;awkward wildebeest;13;Z;Y;Y
658;7;weak mosquito;15;M;Y;N
659;1;unusual dog;1;M;N;Y
660;4;naughty turtle;20;Z;Y;N
661;3;warm llama;2;M;Y;Y
662;4;emotional firefly;14;Z;N;N
663;3;organisational starfish;18;M;N;Y
664;8;various krill;10;M;N;Y
665;1;sore llama;12;M;Y;N
666;9;adjacent echidna;10;Z;Y;N
667;2;confidential egret;14;Z;Y;N
668;9;ill possum;11;Z;Y;N
669;6;fascinating puffin;16;Z;Y;Y
670;9;legal clownfish;7;Z;Y;N
671;7;late hornet;8;M;N;Y
672;8;fair barnacle;14;M;N;N
673;2;visible buzzard;10;M;N;Y
674;6;latin chicken;17;Z;Y;Y
675;9;furious haddock;3;Z;N;Y
676;0;helpless sailfish;3;Z;Y;N
677;7;mathematical cardinal;18;M;N;Y
678;0;whole parrot;5;M;N;Y
679;6;joint mole;6;Z;N;Y
680;1;symbolic ostrich;3;M;Y;Y
681;9;socialist slug;15;M;N;N
682;9;skilled gayal;11;M;Y;N
683;0;managerial roadrunner;3;Z;Y;N
684;0;married lark;8;Z;N;N
685;9;advisory halibut;15;Z;N;N
686;7;quaint squid;11;M;Y;Y
